Title,Description,Price,Categories,ImageUrl
Portal,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",9.99,"Puzzle,First-Person,Singleplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/400/header.jpg
Viscera Cleanup Detail,"In Viscera Cleanup Detail, you step into the boots of a space-station janitor tasked with cleaning up after various horrific sci-fi horror events. Instead of machineguns and plasma-rifles, your tools are a mop and bucket. That hero left a mess, and it's up to you to deal with the aftermath.",12.99,"Simulation,Gore,First-Person",https://cdn.cloudflare.steamstatic.com/steam/apps/246900/header.jpg
Neverwinter Nights: Enhanced Edition,Return to the Forgotten Realms in this bestselling Dungeons & Dragons roleplaying game. Combines all the content of Neverwinter Nights Diamond Edition with all-new enhanced features. Includes 100+ hours of award-winning adventures and the tools to create your own!,57.91,"RPG,Dungeons & Dragons,Fantasy",https://cdn.cloudflare.steamstatic.com/steam/apps/704450/header.jpg
Ni no Kuni™ II: Revenant Kingdom,"Join the young king Evan as he sets out on an epic quest to found a new kingdom and, with the help of some new friends, unite his world, saving its people from a terrible evil.",59.99,"RPG,JRPG,Anime",https://cdn.cloudflare.steamstatic.com/steam/apps/589360/header.jpg
Tree of Savior (English Ver.),Tree of Savior(abbreviated as TOS thereafter) is an MMORPG in which you embark on a journey to search for the goddesses in the world of chaos. Fairy-tale like colors accompanied with beautiful graphics in TOS will have you reminiscing about precious moments all throughout the game.,0.00,"MMORPG,Massively Multiplayer,Free to Play",https://cdn.cloudflare.steamstatic.com/steam/apps/372000/header.jpg
Hellblade: Senua's Sacrifice,"From the makers of Heavenly Sword, Enslaved: Odyssey to the West, and DmC: Devil May Cry, comes a warrior’s brutal journey into myth and madness. Set in the Viking age, a broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.",29.99,"Atmospheric,Psychological,Female Protagonist",https://cdn.cloudflare.steamstatic.com/steam/apps/414340/header.jpg
Danganronpa 2: Goodbye Despair,"Jabberwock Island—You and your classmates were ready for fun in the sun until Monokuma returned to restart his murderous game! Trapped in a kill-or-be-killed situation, your only hope rests in solving the island’s mysteries.",19.99,"Anime,Detective,Visual Novel",https://cdn.cloudflare.steamstatic.com/steam/apps/413420/header.jpg
Yakuza 0,"SEGA’s legendary Japanese series finally comes to PC. Fight like hell through Tokyo and Osaka as junior yakuza Kiryu and Majima. Take a front row seat to 1980s life in Japan in an experience unlike anything else in video gaming, with uncapped framerates and 4K resolutions. A legend is born.",19.99,"Story Rich,Action,Beat 'em up",https://cdn.cloudflare.steamstatic.com/steam/apps/638970/header.jpg
The Escapists 2,"Craft, Steal, Brawl and Escape! It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2, now with multiplayer! Have you got what it takes to escape?",19.99,"Multiplayer,Strategy,Pixel Graphics",https://cdn.cloudflare.steamstatic.com/steam/apps/641990/header.jpg
"Star Wars: Battlefront 2 (Classic, 2005)","Join the rise of Darth Vader’s elite 501st Legion of Stormtroopers as you fight through an all new story-based saga where every action you take impacts the battlefront and, ultimately, the fate of the Star Wars galaxy.",9.99,"Star Wars,Action,Multiplayer",https://cdn.cloudflare.steamstatic.com/steam/apps/6060/header.jpg
Wizard101,"On our 10th anniversary, join over 50 million Wizards and help save Wizard City! Enroll in the Ravenwood School of Magical Arts, master powerful spells against tough bosses, and explore fantastical worlds across The Spiral!",0.00,"Massively Multiplayer,RPG,Magic",https://cdn.cloudflare.steamstatic.com/steam/apps/799960/header.jpg
Life is Strange 2,"After a tragic incident, brothers Sean and Daniel Diaz run away from home. Fearing the police, and dealing with Daniel's new telekinetic power, the boys head to Mexico. Each stop on their journey brings new friends and new challenges.",7.99,"Choices Matter,Story Rich,Adventure",https://cdn.cloudflare.steamstatic.com/steam/apps/532210/header.jpg
Kingdoms of Amalur: Reckoning™,The Legend of Dead Kel DLC is now available! The legendary pirate Dead Kel and his Hanged Men have returned to haunt the seas of northern Amalur.,19.99,"RPG,Fantasy,Open World",https://cdn.cloudflare.steamstatic.com/steam/apps/102500/header.jpg
Doom Classic Complete,Doom Classic Complete bundle,14.99,NaN,https://picsum.photos/seed/game/400/200
"Warhammer 40,000: Dawn of War II: Retribution",Command any of the six unique factions in the next standalone expansion of the critically acclaimed Dawn of War real-time strategy franchise. Choose to build a massive army or lead a small squad of elite heroes into battle and experience a single player campaign customized to your favorite race.,29.99,"Warhammer 40K,Strategy,RTS",https://cdn.cloudflare.steamstatic.com/steam/apps/56437/header.jpg
GOD WARS The Complete Legend,The latest in full-scale Tactical RPG receiving great reviews all around the world is finally on PC Steam! Enjoy the ensemble cast of heroes who fought in ancient Japan and capture the best in Tactical RPG consisting an overwhelming game volume of 142 battle stages and 160 hours in total play time.,29.99,"RPG,Adventure,Simulation",https://cdn.cloudflare.steamstatic.com/steam/apps/1038810/header.jpg
Counter-Strike: Source,"Just updated to include player stats, achievements, new scoreboards and more!",9.99,"Shooter,Action,FPS",https://cdn.cloudflare.steamstatic.com/steam/apps/240/header.jpg
The Evil Within,"Developed by Shinji Mikami -- creator of the seminal Resident Evil series -- and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and an intricate story are combined to create an immersive world that will bring you to the height of tension.",19.99,"Horror,Survival Horror,Psychological Horror",https://cdn.cloudflare.steamstatic.com/steam/apps/268050/header.jpg
The Binding of Isaac: Rebirth Complete Bundle,The Binding of Isaac: Rebirth Complete Bundle bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Bright Memory(Early Access) / 光明记忆,《Bright Memory》is developed by an independent game developer FYQD in his spare time.Travel to the sky of land to prevent SAI from digging out the secrets of the rebirth of ancient creatures.This is a war between future science and ancient civilization.,6.99,"Early Access,FPS,Female Protagonist",https://cdn.cloudflare.steamstatic.com/steam/apps/955050/header.jpg
STAR WARS™ Empire at War - Gold Pack,"Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?",19.99,"Strategy,Star Wars,RTS",https://cdn.cloudflare.steamstatic.com/steam/apps/32470/header.jpg
Dishonored®: Death of the Outsider™,"From the award-winning developers at Arkane® Studios comes Dishonored®: Death of the Outsider, the next standalone adventure in the critically-acclaimed Dishonored® series.",29.99,"Stealth,Action,First-Person",https://cdn.cloudflare.steamstatic.com/steam/apps/614570/header.jpg
Street Fighter V,"Experience the intensity of head-to-head battles with Street Fighter® V! Choose from 16 iconic characters, then battle against friends online or offline with a robust variety of match options.",19.99,"Fighting,Multiplayer,2D Fighter",https://cdn.cloudflare.steamstatic.com/steam/apps/310950/header.jpg
The Jackbox Party Pack 2,"The sequel to the party game phenomenon The Jackbox Party Pack, featuring FIVE fresh, rib-tickling party games! Your phones or tablets are your controllers – no big mess of controllers needed. For up to 8 players plus an Audience of up to 10,000! It’s a game-night riot in a box… without the box!",24.99,"Local Multiplayer,Casual,Comedy",https://cdn.cloudflare.steamstatic.com/steam/apps/397460/header.jpg
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,"Armored Battle Crew is a Tank and Crew Management Simulation game, where your skills as a Tank commander is tested. Customize your tank carefully and make strategic battle choices to achieve mission success! The fate of your crew lies in your hands!",19.99,"Early Access,Tanks,World War I",https://cdn.cloudflare.steamstatic.com/steam/apps/814740/header.jpg
Battlefleet Gothic: Armada 2,"Battlefleet Gothic: Armada 2 is the new real-time strategy game adapted from Games Workshop’s famous tabletop game that portrays the epic space battles of the Warhammer 40,000 universe.",39.99,"Warhammer 40K,Strategy,Space",https://cdn.cloudflare.steamstatic.com/steam/apps/573100/header.jpg
RUNNING WITH RIFLES,"RUNNING WITH RIFLES is a top-down tactical shooter with open world RPG elements. In RWR, you join the ranks of an army as a common soldier, just like the thousands around you.",14.99,"Action,Tactical,Shooter",https://cdn.cloudflare.steamstatic.com/steam/apps/270150/header.jpg
